time	-I(Ls1)	-I(Ls2)
6.133107199787320e-010	4.126210e-003	5.116209e-003
6.143107199787320e-010	3.827248e-003	5.117601e-003
6.153107199787320e-010	3.525985e-003	5.120564e-003
6.163107199787320e-010	3.222498e-003	5.125090e-003
6.173107199787320e-010	2.916873e-003	5.131162e-003
6.183107199787320e-010	2.609203e-003	5.138761e-003
6.193107199787320e-010	2.299591e-003	5.147860e-003
6.203107199787320e-010	1.988149e-003	5.158428e-003
6.213107199787320e-010	1.675002e-003	5.170426e-003
6.223107199787319e-010	1.360285e-003	5.183813e-003
6.233107199787319e-010	1.044150e-003	5.198539e-003
6.243107199787319e-010	7.267670e-004	5.214549e-003
6.253107199787319e-010	4.083220e-004	5.231784e-003
6.263107199787319e-010	8.902460e-005	5.250177e-003
6.273107199787319e-010	-2.308920e-004	5.269657e-003
6.283107199787319e-010	-5.511676e-004	5.290146e-003
6.293107199787319e-010	-8.715126e-004	5.311562e-003
6.303107199787319e-010	-1.191606e-003	5.333814e-003
6.313107199787319e-010	-1.511093e-003	5.356810e-003
6.323107199787319e-010	-1.829585e-003	5.380454e-003
6.333107199787319e-010	-2.146661e-003	5.404653e-003
6.343107199787319e-010	-2.461869e-003	5.429322e-003
6.353107199787319e-010	-2.774732e-003	5.454408e-003
6.363107199787319e-010	-3.084743e-003	5.479949e-003
6.373107199787319e-010	-3.391383e-003	5.506156e-003
6.383107199787319e-010	-3.694144e-003	5.533503e-003
6.393107199787319e-010	-3.992536e-003	5.562855e-003
6.403107199787319e-010	-4.286084e-003	5.595525e-003
6.413107199787319e-010	-4.574344e-003	5.633104e-003
6.423107199787319e-010	-4.856898e-003	5.677106e-003
6.433107199787319e-010	-5.133349e-003	5.728618e-003
6.443107199787319e-010	-5.403324e-003	5.788221e-003
6.453107199787319e-010	-5.666460e-003	5.856141e-003
6.463107199787319e-010	-5.922412e-003	5.932346e-003
6.473107199787319e-010	-6.170845e-003	6.016639e-003
6.483107199787319e-010	-6.411441e-003	6.108767e-003
