time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
5.203107199787323e-010	3.584836e-001	-1.894649e+000
5.213107199787323e-010	3.585569e-001	-1.893702e+000
5.223107199787323e-010	3.586225e-001	-1.891885e+000
5.243107199787323e-010	3.587304e-001	-1.885695e+000
5.263107199787323e-010	3.588077e-001	-1.876190e+000
5.283107199787323e-010	3.588549e-001	-1.863492e+000
5.303107199787323e-010	3.588723e-001	-1.847735e+000
5.323107199787323e-010	3.588603e-001	-1.829059e+000
5.353107199787322e-010	3.587873e-001	-1.795897e+000
5.383107199787322e-010	3.586494e-001	-1.757026e+000
5.403107199787322e-010	3.585213e-001	-1.728210e+000
5.423107199787322e-010	3.583645e-001	-1.697265e+000
5.443107199787322e-010	3.581798e-001	-1.663953e+000
5.463107199787322e-010	3.579653e-001	-1.629252e+000
5.483107199787322e-010	3.577210e-001	-1.593164e+000
5.503107199787322e-010	3.574469e-001	-1.555688e+000
5.523107199787322e-010	3.571431e-001	-1.516824e+000
5.543107199787322e-010	3.568095e-001	-1.476572e+000
5.563107199787322e-010	3.564460e-001	-1.434932e+000
5.593107199787322e-010	3.558397e-001	-1.371523e+000
5.613107199787322e-010	3.553944e-001	-1.328424e+000
5.633107199787322e-010	3.549150e-001	-1.284816e+000
5.643107199787321e-010	3.546622e-001	-1.262859e+000
5.653107199787321e-010	3.544004e-001	-1.240821e+000
5.663107199787321e-010	3.541296e-001	-1.218714e+000
5.673107199787321e-010	3.538493e-001	-1.196552e+000
5.683107199787321e-010	3.535594e-001	-1.174349e+000
5.693107199787321e-010	3.532597e-001	-1.152116e+000
5.703107199787321e-010	3.529500e-001	-1.129866e+000
5.713107199787321e-010	3.526301e-001	-1.107608e+000
5.723107199787321e-010	3.522997e-001	-1.085355e+000
5.733107199787321e-010	3.519585e-001	-1.063115e+000
5.743107199787321e-010	3.516061e-001	-1.040898e+000
5.753107199787321e-010	3.512422e-001	-1.018713e+000
